AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
AAA,Anaa,AAA,Anaa,French Polynesia,XPF
AAE,Les Salines,AAE,Annaba,Algeria,DZD
AAL,Aalborg,AAL,Aalborg,Denmark,DKK
AAN,Al Ain,AAN,Al Ain,United Arab Emirates,AED
AAO,Anaco,AAO,Anaco,Venezuela,VEF
AAP,ANDRAU AIRPARK,AAP,Houston,United States,USD
AAQ,Anapa,AAQ,Anapa,Russian Federation,RUB
AAR,Tirstrup,AAR,Aarhus,Denmark,DKK
AAX,Araxa Airport,AAX,Araxa,Brazil,BRL
AAY,Al Ghaydah,AAY,Al Ghaydah,Yemen,YER
ABA,Abakan,ABA,Abakan,Russian Federation,RUB
ABD,Abadan Airport,ABD,Abadan,Iran,IRR
ABE,Allentown,ABE,Allentown,United States,USD
ABF,Abaiang,ABF,Abaiang,Kiribati,AUD
ABH,Alpha Airport,ABH,Alpha,Australia,AUD
ABI,Abilene Municipal,ABI,Abilene,United States,USD
ABJ,F Houphouet Boig,ABJ,Abidjan,Ivory Coast,
ABK,Kabri Dar,ABK,Kabri Dar,Ethiopia,ETB
ABL,Ambler,ABL,Ambler,United States,USD
ABM,Bamaga,ABM,Bamaga,Australia,AUD
ABQ,Albuquerque Int'l,ABQ,Albuquerque,United States,USD
ABR,Aberdeen Municipal,ABR,Aberdeen,United States,USD
ABS,Abu Simbel,ABS,Abu Simbel,Egypt,EGP
ABT,Al Baha,ABT,Al Baha,Saudi Arabia,SAR
ABU,Atambua,ABU,Atambua,Indonesia,IDR
ABV,Abuja Airport,ABV,Abuja,Nigeria,NGN
ABX,Albury,ABX,Albury,Australia,AUD
ABY,Dougherty Coun,ABY,Albany,United States,USD
ABZ,Dyce,ABZ,Aberdeen,United Kingdom,GBP
ACA,Alvarez Int'l,ACA,Acapulco,Mexico,MXN
ACB,Bellaire - Antrim County,ACB,Bellaire,United States,USD
ACC,Kotoka,ACC,Accra,Ghana,GHS
ACD,Acandi,ACD,Acandi,Colombia,COP
ACE,Lanzarote,ACE,Lanzarote,Spain,EUR
ACH,Altenrhein,ACH,Altenrhein,Switzerland,CHF
ACI,The Blaye,ACI,Alderney,United Kingdom,GBP
ACK,Memorial,ACK,Nantucket,United States,USD
ACR,Araracuara,ACR,Araracuara,Colombia,COP
ACT,Waco Municipal,ACT,Waco,United States,USD
CNW,James Connall,ACT,Waco,United States,USD
ACV,Arcata Eureka,ACV,Arcata,United States,USD
ADA,Adana,ADA,Adana,Turkey,TRY
ADD,Bole,ADD,Addis Ababa,Ethiopia,ETB
ADE,Aden Int'l,ADE,Aden,Yemen,YER
ADF,Adiyaman Airport,ADF,Adiyaman,Turkey,TRY
ADI,Arandis,ADI,Arandis,Namibia,NAD
ADK,Adak Island,ADK,Adak Island,United States,USD
ADL,Adelaide,ADL,Adelaide,Australia,AUD
ADQ,Kodiak,ADQ,Kodiak,United States,USD
ADZ,San Andres Island,ADZ,San Andres Island,Colombia,COP
AEA,Abemama Atoll,AEA,Abemama Atoll,Kiribati,AUD
AEG,Aek Godang,AEG,Aek Godang,Indonesia,IDR
AEH,Abecher,AEH,Abecher,Chad,XAF
AEO,Aioun El Atrouss,AEO,Aioun El Atrouss,Mauritania,MRO
AER,Adler Sochi,AER,Adler Sochi,Russian Federation,RUB
AES,Vigra,AES,Aalesund,Norway,NOK
AEX,,AEX,Alexandria,United States,USD
ESF,Esler Field,AEX,Alexandria,United States,USD
AEY,Akureyri,AEY,Akureyri,Iceland,ISK
AFA,San Rafael,AFA,San Rafael,Argentina,ARS
AFL,Alta Floresta Mato Grosso,AFL,Alta Floresta,Brazil,BRL
AGA,Agadir Almassira,AGA,Agadir,Morocco,MAD
AGE,Wangerooge Flugplatz,AGE,Wangerooge,Germany,EUR
AGF,La Garenne,AGF,Agen,France,EUR
AGH,Angelholm,AGH,Helsingborg,Sweden,SEK
AGJ,Aguni,AGJ,Aguni,Japan,JPY
AGP,Malaga,AGP,Malaga,Spain,EUR
AGR,Kheria,AGR,Agra,India,INR
AGS,Augusta Bush Field,AGS,Augusta,United States,USD
DNL,Daniel Field,AGS,Augusta,United States,USD
AGT,Guarani Intl Airport,AGT,Ciudad Del Este,Paraguay,PYG
AGU,Aguascalientes,AGU,Aguascalientes,Mexico,MXN
AGV,Acarigua,AGV,Acarigua,Venezuela,VEF
AGX,Agatti Island,AGX,Agatti Island,India,INR
AGZ,Aggeneys,AGZ,Aggeneys,South Africa,ZAR
AHB,Abha,AHB,Abha,Saudi Arabia,SAR
AHO,Fertilia,AHO,Alghero,Italy,EUR
AHU,Charif Al Idrissi,AHU,Al Hoceima,Morocco,MAD
AIA,Alliance,AIA,Alliance,United States,USD
AIC,Airok,AIC,Airok,Marshall Islands,USD
AIG,Yalinga,AIG,Yalinga,Central African Republic,XAF
AIM,Ailuk Island,AIM,Ailuk Island,Marshall Islands,USD
AIN,Wainwright,AIN,Wainwright,United States,USD
AIP,Adampur Airport,AIP,Adampur,India,INR
AIS,Arorae Island,AIS,Arorae Island,Kiribati,AUD
AIT,Aitutaki,AIT,Aitutaki,Cook Islands,NZD
AIU,Atiu Island,AIU,Atiu Island,Cook Islands,NZD
ACY,Atlantic city International,AIY,Atlantic Cty,United States,USD
AIY,Bader Field,AIY,Atlantic Cty,United States,USD
AJA,Campo Dell Oro,AJA,Ajaccio,France,EUR
AJF,JOUF,AJF,Jouf,Saudi Arabia,SAR
AJI,Agri Airport,AJI,Agri,Turkey,TRY
AJJ,Akjoujt,AJJ,Akjoujt,Mauritania,MRO
AJL,Aizawl,AJL,Aizawl,India,INR
AJN,Ouani,AJN,Anjouan,Comoros,KMF
AJR,Arvidsjaur,AJR,Arvidsjaur,Sweden,SEK
AJU,Aracaju,AJU,Aracaju,Brazil,BRL
AJY,Agades,AJY,Agades,Niger,XOF
AKD,Akola,AKD,Akola,India,INR
AKF,Kufrah,AKF,Kufrah,Libyan Arab Jamahiriya,LYD
AKJ,Asahikawa,AKJ,Asahikawa,Japan,JPY
AKL,Auckland Int'l,AKL,Auckland,New Zealand,NZD
AKM,Zakouma,AKM,Zakouma,Chad,XAF
AKN,King Salmon,AKN,King Salmon,United States,USD
AKR,Akure,AKR,Akure,Nigeria,NGN
AKX,Aktyubinsk,AKX,Aktyubinsk,Kazakhstan,KZT
AKY,Sittwe Civil,AKY,Sittwe,Myanmar,MMK
ALA,Almaty,ALA,Almaty,Kazakhstan,KZT
ALB,Albany,ALB,Albany,United States,USD
ALC,Alicante,ALC,Alicante,Spain,EUR
ALF,Alta Airport,ALF,Alta,Norway,NOK
ALG,Houari Boumediene,ALG,Algiers,Algeria,DZD
ALH,Albany,ALH,Albany,Australia,AUD
ALL,ALBENGA,ALL,Albenga,Italy,EUR
ALM,Alamogordo Municipal,ALM,Alamogordo,United States,USD
ALO,Waterloo,ALO,Waterloo,United States,USD
ALP,Nejrab,ALP,Aleppo,Syrian Arab Republic,SYP
ALR,Alexandra,ALR,Alexandra,New Zealand,NZD
ALS,Alamosa Municipal,ALS,Alamosa,United States,USD
ALU,Alula,ALU,Alula,Somalia,SOS
ALW,Walla Walla,ALW,Walla Walla,United States,USD
ALY,Alexandria,ALY,Alexandria,Egypt,EGP
HBE,Alexandria - Burj,ALY,Alexandria,Egypt,EGP
AMA,Amarillo Internationa,AMA,Amarillo,United States,USD
AMB,Ambilobe,AMB,Ambilobe,Madagascar,MGA
AMC,Am Timan,AMC,Am Timan,Chad,XAF
AMD,Ahmedabad,AMD,Ahmedabad,India,INR
AMH,Arba Mintch,AMH,Arba Mintch,Ethiopia,ETB
AMI,Selaparang,AMI,Mataram,Indonesia,IDR
ADJ,Marka,AMM,Amman,Jordan,JOD
AMM,Queen Alia Int'l,AMM,Amman,Jordan,JOD
AMO,Mao,AMO,Mao,Chad,XAF
AMP,Ampanihy,AMP,Ampanihy,Madagascar,MGA
AMQ,Pattimura,AMQ,Ambon,Indonesia,IDR
AMS,Schiphol,AMS,Amsterdam,Netherlands,ANG
AMU,Amanab,AMU,Amanab,Papua New Guinea,PGK
AMY,Ambatomainty,AMY,Ambatomainty,Madagascar,MGA
ANB,Anniston County,ANB,Anniston,United States,USD
ANC,Anchorage Int'l,ANC,Anchorage,United States,USD
MRI,Merrill Field,ANC,Anchorage,United States,USD
ANE,Angers - Marce Airport,ANE,Angers,France,EUR
ANF,Cerro Moreno,ANF,Antofagasta,Chile,CLP
ANG,Brie-Champnier,ANG,Angouleme,France,EUR
ANI,Aniak,ANI,Aniak,United States,USD
ANK,Ankara - Etimesgut,ANK,Ankara,Turkey,TRY
ESB,Esenboga,ANK,Ankara,Turkey,TRY
ANM,Antsirabato,ANM,Antalaha,Madagascar,MGA
ANO,Angoche,ANO,Angoche,Mozambique,MZN
ANR,Deurne,ANR,Antwerp,Belgium,EUR
ANS,Andahuaylas,ANS,Andahuaylas,Peru,PEN
ANU,Vc Bird Int'l,ANU,Antigua,Antigua & Barbuda,XCD
ANV,Anvik,ANV,Anvik,United States,USD
ANX,Andenes,ANX,Andenes,Norway,NOK
AOC,Altenburg - Nobitz Airport,AOC,Altenburg,Germany,EUR
AOD,Abou Deia,AOD,Abou Deia,Chad,XAF
AOE,Eskisehir Anadolu,AOE,Eskisehir,Turkey,TRY
AOI,Falconara,AOI,Ancona,Italy,EUR
AOJ,Aomori,AOJ,Aomori,Japan,JPY
AOK,Karpathos,AOK,Karpathos,Greece,EUR
AOL,Paso De Los Libres,AOL,Paso De Los Libres,Argentina,ARS
AOO,Altoona,AOO,Altoona,United States,USD
AOR,Alor Setar,AOR,Alor Setar,Malaysia,MYR
AOS,Amook,AOS,Amook,United States,USD
APC,Napa County,APC,Napa,United States,USD
APF,Naples,APF,Naples,United States,USD
APK,Apataki,APK,Apataki,French Polynesia,XPF
APL,Nampula,APL,Nampula,Mozambique,MZN
APN,Alpena County Regional,APN,Alpena,United States,USD
APO,Apartado,APO,Apartado,Colombia,COP
APP,Asapa,APP,Asapa,Papua New Guinea,PGK
APQ,Arapiraca,APQ,Arapiraca,Brazil,BRL
APW,Faleolo,APW,Apia,Samoa,WST
APZ,Zapala,APZ,Zapala,Argentina,ARS
AQA,Araraquara Airport,AQA,Araraquara,Brazil,BRL
